,SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION,SHOP_YEAR,SHOP_MONTH,SHOP_YEARMONTH
68,200725,2007-08-16,5,18,3,5.55,PRD0900633,CL00061,DEP00018,G00006,D00002,,,,994107100093336,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,8,2007-8
97,200724,2007-08-07,3,15,1,0.42,PRD0900010,CL00248,DEP00089,G00030,D00009,,,,994107000003601,S,MM,Small Shop,Grocery,STORE00001,LS,E02,2007,8,2007-8
159,200727,2007-08-30,5,12,4,2.2,PRD0904005,CL00003,DEP00002,G00001,D00001,,,,994107300158826,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,8,2007-8
160,200727,2007-08-29,4,10,1,0.86,PRD0901035,CL00006,DEP00002,G00001,D00001,,,,994107300118080,L,MM,Full Shop,Fresh,STORE00001,LS,E02,2007,8,2007-8
190,200723,2007-08-01,4,19,1,1.16,PRD0900453,CL00015,DEP00004,G00003,D00001,,,,994106900173618,L,LA,Small Shop,Fresh,STORE00001,LS,E02,2007,8,2007-8
194,200725,2007-08-16,5,16,1,0.21,PRD0901616,CL00016,DEP00004,G00003,D00001,,,,994107100105588,L,MM,Top Up,Fresh,STORE00001,LS,E02,2007,8,2007-8
196,200727,2007-08-27,2,18,1,0.56,PRD0904044,CL00014,DEP00004,G00003,D00001,,,,994107300124019,L,MM,Top Up,Mixed,STORE00001,LS,E02,2007,8,2007-8
209,200726,2007-08-24,6,10,1,0.5,PRD0904679,CL00017,DEP00005,G00003,D00001,,,,994107200094301,M,MM,Small Shop,Grocery,STORE00001,LS,E02,2007,8,2007-8
213,200725,2007-08-19,1,10,1,0.79,PRD0904746,CL00018,DEP00005,G00003,D00001,,,,994107100155301,M,LA,Top Up,Fresh,STORE00001,LS,E02,2007,8,2007-8
278,200727,2007-08-27,2,16,1,1.83,PRD0900159,CL00029,DEP00008,G00004,D00002,,,,994107300156644,L,MM,Full Shop,Mixed,STORE00001,LS,E02,2007,8,2007-8
